Function,Calls,Total Time (s),Per Call Time (s),Cumulative Time (s)
"('~', 0, '<built-in method builtins.exec>')",1,0.0005749980000000001,0.0005749980000000001,23.64360375
"('<string>', 1, '<module>')",1,2.7836000000000003e-05,2.7836000000000003e-05,23.643471917000003
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/hybrid.py', 321, 'run_simulation')",1,0.019157238,0.019157238,19.498262583000002
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/hybrid.py', 189, 'hybrid_simulation')",20,1.658687424,0.0829343712,19.467786793000002
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/hybrid.py', 106, 'calculate_total_mass')",466977,0.260736421,5.583495996590838e-07,11.238814462
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/hybrid.py', 92, 'approximate_mass_left_hand')",466977,2.291206659,4.906465755272744e-06,10.978078041
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/hybrid.py', 143, 'propensity_calculation')",207001,1.882266462,9.093030767967305e-06,9.722086775000001
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py', 2255, 'sum')",5106935,2.0903457220000004,4.093151218881776e-07,9.267718761000001
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py', 69, '_wrapreduction')",5106941,2.564479153,5.021556256475257e-07,6.84371491
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/stochastic.py', 108, 'run_simulation')",1,0.00043908500000000003,0.00043908500000000003,4.098208958
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/stochastic.py', 61, 'stochastic_simulation')",20,1.333073454,0.0666536727,4.09282154
"('~', 0, ""<method 'reduce' of 'numpy.ufunc' objects>"")",5106941,3.8246801550000002,7.489180225500941e-07,3.8246801550000002
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/hybrid.py', 113, 'boolean_if_less_mass')",207001,1.7960991210000001,8.676765431084875e-06,2.086782318
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py', 51, '_wrapfunc')",1748660,0.44692564300000004,2.555817843377215e-07,1.6837091080000002
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py', 1402, 'searchsorted')",1311495,0.32618010000000003,2.4870861116512076e-07,1.476128322
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/stochastic.py', 46, 'propensity_calculation')",230164,0.791214431,3.4376115769625136e-06,1.073517843
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/numeric.py', 65, 'zeros_like')",621030,0.547778569,8.820484823599503e-07,0.739338481
"('~', 0, ""<method 'searchsorted' of 'numpy.ndarray' objects>"")",1311495,0.722106225,5.505977720082806e-07,0.722106225
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py', 2609, 'cumsum')",437165,0.12692087500000002,2.9032716480047585e-07,0.6606828450000001
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/numeric.py', 218, 'ones_like')",437167,0.456591817,1.0444334018807458e-06,0.513589368
"('~', 0, ""<method 'items' of 'dict' objects>"")",5106970,0.454560556,8.900787668617595e-08,0.454560556
"('~', 0, ""<method 'cumsum' of 'numpy.ndarray' objects>"")",437165,0.365342906,8.357094140656274e-07,0.365342906
"('~', 0, '<built-in method builtins.isinstance>')",5107586,0.33374754,6.534349886619628e-08,0.333771457
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py', 2250, '_sum_dispatcher')",5106935,0.27942800900000003,5.471540346607114e-08,0.27942800900000003
"('~', 0, '<built-in method numpy.zeros>')",1295040,0.221480172,1.7102187731653077e-07,0.221480172
"('~', 0, '<built-in method builtins.getattr>')",1748984,0.14939179800000002,8.541633199617607e-08,0.149392465
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/hybrid.py', 87, 'crank_nicholson')",40001,0.095042018,2.3759910502237447e-06,0.095042018
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py', 1398, '_searchsorted_dispatcher')",1311495,0.085677681,6.532825592167717e-08,0.085677681
"('~', 0, '<built-in method builtins.min>')",437212,0.07630511000000001,1.7452656834670597e-07,0.07630511000000001
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/multiarray.py', 1089, 'copyto')",1060197,0.073957531,6.975829114777726e-08,0.073957531
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/multiarray.py', 83, 'empty_like')",1058197,0.063380242,5.989455838563141e-08,0.063380242
"('~', 0, '<built-in method builtins.max>')",287264,0.050983045000000005,1.7747801673721735e-07,0.051039991
"('~', 0, '<built-in method builtins.len>')",438659,0.042031345000000005,9.58178106456268e-08,0.042034060000000005
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/numeric.py', 59, '_zeros_like_dispatcher')",621030,0.039847181,6.416305331465468e-08,0.039847181
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/PDE.py', 50, 'run_simulation')",1,0.002471776,0.002471776,0.036608041
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/PDE.py', 47, 'crank_nicholson')",1999,0.031831949000000005,1.5923936468234118e-05,0.034116015
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/fromnumeric.py', 2605, '_cumsum_dispatcher')",437165,0.029854069,6.829016275319388e-08,0.029854069
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/numeric.py', 212, '_ones_like_dispatcher')",437167,0.028806421000000002,6.589340229248778e-08,0.028806421000000002
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/multiarray.py', 161, 'concatenate')",437165,0.028232998000000002,6.458201823110268e-08,0.028232998000000002
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/copy.py', 61, 'copy')",40001,0.016572095000000002,4.1429201769955757e-07,0.024151058000000003
"('<frozen importlib._bootstrap>', 1349, '_find_and_load')",5,7.0418e-05,1.40836e-05,0.014462375000000001
"('<frozen importlib._bootstrap>', 1304, '_find_and_load_unlocked')",5,5.2613000000000006e-05,1.0522600000000002e-05,0.014326416000000002
"('<frozen importlib._bootstrap>', 911, '_load_unlocked')",5,4.5964e-05,9.192800000000001e-06,0.013734000000000001
"('<frozen importlib._bootstrap>', 480, '_call_with_frames_removed')",11,1.8379e-05,1.6708181818181819e-06,0.012355833
"('<frozen importlib._bootstrap_external>', 989, 'exec_module')",4,2.3829000000000002e-05,5.9572500000000004e-06,0.012129332000000001
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 760, 'get_lock')",4,2.1251e-05,5.31275e-06,0.010033415
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 90, '__init__')",1,1.4166000000000001e-05,1.4166000000000001e-05,0.010010833
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 116, 'create_mp_lock')",1,2.1709000000000002e-05,2.1709000000000002e-05,0.009992834
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 1160, '__iter__')",42,0.000115667,2.7539761904761905e-06,0.009929501
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 1325, 'refresh')",42,0.000107081,2.549547619047619e-06,0.009778374000000001
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 1198, 'update')",40,0.000222038,5.55095e-06,0.009461166
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 1464, 'display')",44,0.000103837,2.3599318181818182e-06,0.009423084
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/context.py', 70, 'RLock')",1,1.9624e-05,1.9624e-05,0.007549125
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 1150, '__str__')",44,0.000186452,4.237545454545455e-06,0.006910246
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 464, 'format_meter')",44,0.001151981,2.6181386363636365e-05,0.006567206000000001
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/utils.py', 378, 'disp_len')",132,7.891400000000001e-05,5.978333333333334e-07,0.00558942
"('<frozen importlib._bootstrap_external>', 1062, 'get_code')",21,7.3872e-05,3.5177142857142858e-06,0.005576416000000001
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/utils.py', 374, '_text_width')",132,0.000122669,9.29310606060606e-07,0.005366549
"('~', 0, '<built-in method builtins.sum>')",132,0.000988151,7.485992424242425e-06,0.00524388
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/__init__.py', 1, '<module>')",1,3.75e-06,3.75e-06,0.005083042
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/synchronize.py', 193, '__init__')",1,2.459e-06,2.459e-06,0.005038917
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/synchronize.py', 50, '__init__')",1,5.4457000000000004e-05,5.4457000000000004e-05,0.005036458000000001
"('~', 0, ""<method 'get' of 'dict' objects>"")",40298,0.004829839000000001,1.1985306963124722e-07,0.004829839000000001
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_npyio_impl.py', 583, 'savez')",3,1.8541e-05,6.180333333333333e-06,0.004764333
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_npyio_impl.py', 741, '_savez')",3,8.9793e-05,2.9931e-05,0.004744292000000001
"('<frozen importlib._bootstrap>', 806, 'module_from_spec')",25,2.6081000000000003e-05,1.04324e-06,0.00444179
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/utils.py', 375, '<genexpr>')",17476,0.0018903600000000002,1.0816891737239644e-07,0.004255729000000001
"('<frozen importlib._bootstrap_external>', 1183, 'get_data')",21,3.1336e-05,1.4921904761904762e-06,0.004234957
"('<frozen importlib._bootstrap_external>', 1287, 'create_module')",3,2.9140000000000004e-06,9.713333333333335e-07,0.004170208
"('~', 0, '<built-in method _imp.create_dynamic>')",3,0.004164791,0.0013882636666666668,0.004164791
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/hybrid.py', 1, '<module>')",1,3.75e-06,3.75e-06,0.004022875
